,name,age,joining_date,income,job_category,remote,unknown1,city,country,unknown2,gender,phone,email,marital_status,employment_status,job_role,analytics,dashboard,experience,company
0,Isaac Herrera,58,2025-05-21,69196,A,No,,Lake Tammyview,Azerbaijan,True,,4005980037,isaacschultz@odonnell.com,,employed,Museum/gallery exhibitions officer,Excel,PowerBI,3,
1,Mrs. Lisa Pope PhD,,2022-10-06,147853,Unknown,No,abc,Angelabury,Saudi Arabia,,M,(732)263-0812x68867,igrimes@alexander-holt.com,,freelancer,Brewing technologist,Python,Tableau,3,Reeves-Cannon
2,Christopher Schmitt,24,,95165,B,Yes,,North Charles,Kazakhstan,,,253-972-2959x17988,joneschristopher@yahoo.com,,employed,"Journalist, newspaper",Other,R,10,
3,Carl Dunn,,2024-04-28,17012,A,Yes,001,North Charlesshire,Togo,False,M,241-881-5229x57396,,,,Architect,Python,Tableau,5,"Mclean, Young and Butler"
4,Sherry Morton,,2023-11-22,23717,C,,,Port Johnview,Guinea-Bissau,False,F,+1-268-393-1282,,,freelancer,Regulatory affairs officer,Other,Tableau,10,Gallegos-Poole
5,Melissa Lopez,21,2024-05-16,110162,B,Yes,002,Port Williamton,Isle of Man,,F,391.862.0726,,,,Child psychotherapist,Other,Tableau,4,
6,Natalie Castillo,,,117311,Unknown,No,002,North Joshua,Panama,False,,132-941-1502x2032,,single,employed,Web designer,Excel,Tableau,10,
7,Audrey Smith,,,105039,Unknown,,003,Andrewville,Northern Mariana Islands,True,M,(272)854-5792x0708,,,freelancer,Barrister's clerk,Excel,R,6,
8,Melissa Dominguez,47,2024-10-08,51832,Unknown,Yes,,Port Brianfurt,Cuba,,,(651)583-1122,,married,unemployed,"Psychotherapist, dance movement",Python,Tableau,8,
9,John Myers,,2024-09-15,34325,C,Yes,002,Ryanberg,Niger,True,F,825.519.2222x57699,,single,employed,Transport planner,Other,PowerBI,8,
10,Jennifer Bush,,,48287,B,,,Lake Dawnshire,Jamaica,,F,+1-228-384-2135x730,,married,freelancer,Counselling psychologist,Other,R,7,
11,Shelly White,46,2023-01-06,93627,A,,,Mindyfurt,Kyrgyz Republic,False,,280.432.1736x60738,foxandrea@johnson.com,single,employed,Airline pilot,Excel,Tableau,1,
12,Chelsea Long,39,,132248,A,,002,East Erica,Spain,,F,101-150-9976x807,,,unemployed,Transport planner,Excel,PowerBI,10,Jones-Floyd
13,Thomas Jones,,,19200,B,Yes,abc,Tiffanyburgh,Antigua and Barbuda,,M,942-642-5573x004,craig05@hotmail.com,married,unemployed,Fitness centre manager,Other,Other,2,Cooper and Sons
14,Jennifer Barron,,,24761,Unknown,,001,Tracyland,Nauru,True,,001-515-740-7520x066,mark75@castillo.com,single,unemployed,Call centre manager,SQL,Other,7,"Hernandez, Kim and Jimenez"
15,Michael Rogers,,2024-08-20,5565,Unknown,Yes,abc,New Chadport,Belize,,,+1-668-847-4082x455,,,unemployed,"Producer, television/film/video",SQL,R,3,
16,Melanie Lee,,,87209,A,Yes,,Amberburgh,South Africa,,,4950674644,,married,employed,Communications engineer,Other,PowerBI,2,
17,Wesley Valdez,56,2025-05-02,69543,A,,001,South Wendyberg,Russian Federation,,,807.585.6760x214,,,freelancer,Network engineer,SQL,R,3,Olsen-Cross
18,William Lewis,43,2024-06-21,24016,A,No,,New Lori,Bahrain,True,M,+1-485-428-3049x373,,married,,"Therapist, occupational",Python,Tableau,5,
19,Zachary Allen,,2024-02-16,147401,B,,,Rodriguezfort,Russian Federation,True,,(995)722-6963x471,,single,unemployed,"Engineer, broadcasting (operations)",Python,PowerBI,1,
20,Lauren Dominguez,53,2023-10-12,60215,C,No,,Robertsside,Lithuania,,,454-704-0647,,,employed,"Scientist, water quality",Excel,Other,4,
21,Stephen Campbell,,2022-06-25,73670,C,No,,South Charles,Uzbekistan,,,(586)309-9012x982,smithjoshua@allen.com,single,employed,"Radiographer, diagnostic",SQL,Other,0,"White, Myers and Hall"
22,Andrea Smith,,2023-01-29,15965,B,No,001,New Brandon,Macao,,F,001-790-650-5581,,married,employed,Architectural technologist,Python,Other,6,
23,Hector Lee,65,2022-06-29,51413,Unknown,Yes,002,South Michael,Bouvet Island (Bouvetoya),,,+1-449-862-6817x0607,,married,freelancer,"Surveyor, rural practice",SQL,PowerBI,6,
24,Victoria Yu,48,2024-01-04,125665,C,Yes,002,East Briannaside,Palestinian Territory,False,M,265.322.0372x8833,,married,,Professor Emeritus,Python,R,1,Simmons-Stewart
25,Paula Hutchinson,,,145565,C,Yes,001,Brianberg,Hong Kong,,F,001-640-464-0965x010,,,employed,Insurance risk surveyor,Excel,Other,6,Franklin PLC
26,Joseph Long,,,139066,B,Yes,,Johntown,Hungary,False,Other,+1-299-929-2549x116,brendaleon@gmail.com,,employed,"Psychologist, sport and exercise",Other,Other,10,
27,Mr. Robert Cole,,2025-02-17,23343,C,,003,Lake Daniel,Angola,True,Other,001-582-990-2013,,,,Control and instrumentation engineer,Python,Other,4,
28,Mandy Oconnell,26,,104390,C,,,Aprilland,Paraguay,,,(022)656-1218x7030,,single,freelancer,Travel agency manager,Python,Tableau,6,
29,Paul Figueroa,,2025-05-24,120909,A,,abc,East Christine,Kazakhstan,False,M,+1-516-129-3372,,,employed,Mining engineer,SQL,R,3,
30,Jamie Obrien,27,2024-05-13,129554,B,No,abc,Lake Kyle,Belarus,False,,075-735-5797,,,unemployed,"Therapist, drama",SQL,PowerBI,1,Knight-Alvarez
31,Shannon Stevens,32,,70325,B,No,002,Seanshire,Japan,,,744-501-4743x0584,,,,"Designer, industrial/product",Other,Other,6,
32,Krista Nelson,46,,69812,B,,abc,New Johnfort,Norfolk Island,False,Other,2825052849,,single,freelancer,Conference centre manager,SQL,R,5,"Johnson, Patel and Logan"
33,Barry Burton,52,2023-06-17,105410,C,No,001,Johnland,El Salvador,,,001-517-776-8117x003,,,,Sales promotion account executive,Excel,Tableau,6,Dean PLC
34,Ruben Martin,,2024-12-21,104714,Unknown,Yes,003,Lake Judithburgh,Botswana,,,(294)493-6976,,married,,Software engineer,SQL,R,6,Duncan Inc
35,Angela Thomas,,2023-04-12,110989,C,No,002,Ortizland,Cuba,True,,845-357-5003,,single,employed,Commercial/residential surveyor,Other,Tableau,7,
36,Jerome Zuniga,,,124196,C,No,abc,North Anthonyfort,Svalbard & Jan Mayen Islands,,,620.694.9930x75902,,single,,Oceanographer,Excel,Other,0,"Jones, Dyer and Parks"
37,Kathy Johnson,,2022-07-24,15553,A,No,002,East Barbara,United States Virgin Islands,True,,019-220-6556,lorraine27@hotmail.com,married,unemployed,"Engineer, aeronautical",Other,PowerBI,9,
38,John Torres,,2023-11-14,48984,B,No,003,Michelemouth,Greenland,True,,+1-338-023-5504x912,steven23@hotmail.com,,,"Engineer, aeronautical",Other,Other,3,
39,Christopher Lewis,,2024-09-25,84058,B,,001,Fowlerfort,Saint Lucia,,,+1-661-050-1124x599,,,employed,Conference centre manager,Other,R,0,Maldonado PLC
40,Donald Strickland,49,,125517,C,Yes,002,South Michaelmouth,Puerto Rico,,,(653)669-4143x1283,,,,Health and safety inspector,Other,Other,4,Brown-Morrison
41,Anthony Lee,33,2025-05-10,68927,Unknown,,,Greenfurt,New Zealand,,Other,+1-480-842-5240x050,carrie62@underwood-liu.info,,freelancer,Government social research officer,SQL,Other,3,Wilson LLC
42,Patricia Robertson,,2025-01-29,77422,Unknown,Yes,,Brownborough,Ireland,False,M,745.025.7085x713,flong@watkins-hood.net,,,Corporate investment banker,Other,Tableau,7,
43,Phillip Collins PhD,,,29393,B,No,abc,Danielleton,Cambodia,False,Other,(186)264-8348x23113,,,,Ceramics designer,Other,Other,5,Parsons-Benjamin
44,Jaclyn Morales,,2022-11-26,123946,B,Yes,003,Sharonmouth,Guadeloupe,False,M,(029)028-1963x66055,,married,freelancer,Midwife,Excel,Other,2,
45,Deanna Monroe,,,142530,B,Yes,002,North Noahstad,French Polynesia,,F,001-055-206-9314,,married,freelancer,"Therapist, occupational",Excel,Other,2,Gray-Johnson
46,Robert Atkinson,20,,38103,Unknown,Yes,001,Lake Marthashire,Mali,,,026.589.2997x601,,,freelancer,Food technologist,SQL,PowerBI,4,Harvey-Kramer
47,William Khan,25,,19053,C,No,,Ortizstad,Guinea-Bissau,,M,391-726-8528,robertalvarado@heath.biz,single,,English as a second language teacher,Other,Other,9,
48,Jacqueline Thomas,,,121056,B,,abc,Gabrielaton,Lebanon,,,001-460-336-6472x482,,single,,"Embryologist, clinical",Excel,Tableau,10,
49,Melissa Wood MD,,2023-10-07,50564,Unknown,Yes,002,Port Raven,Cook Islands,True,,9410097954,,,freelancer,Writer,Excel,Tableau,4,
50,Andrea Rogers,,,66190,B,,,West Austinberg,Nigeria,False,,(716)392-4048x65802,lindseykeith@hotmail.com,married,unemployed,Field trials officer,Python,Tableau,1,
51,Brandon Howell,,,80657,Unknown,Yes,abc,Chavezborough,Togo,,,+1-823-306-4353x937,,,,"Surveyor, minerals",Excel,Other,0,Casey Inc
