Isaac Herrera,58,21-05-2025,69196,a,no,,Lake Tammyview,Azerbaijan,True,,4005980037,isaacschultz@odonnell.com,,employed,Museum/gallery exhibitions officer,Excel,PowerBI,3,
Mrs. Lisa Pope PhD,,10-06-2022,"{""monthly"": 147853}",unknown,No,abc,Angelabury,Saudi Arabia,,M,(732)263-0812x68867,igrimes@alexander-holt.com,,freelancer,Brewing technologist,Python,Tableau,3,Reeves-Cannon
Christopher Schmitt,24,invalid,"{""monthly"": 95165}",b,yes,,North Charles,Kazakhstan,,,253-972-2959x17988,joneschristopher@yahoo.com,,employed,"Journalist, newspaper",,R,10,
Carl Dunn,,2024/04/28,17012,a,Y,001,North Charlesshire,Togo,False,M,241-881-5229x57396,,,,Architect,Python,Tableau,5,"Mclean, Young and Butler"
Sherry Morton,,"Nov 22, 2023",23717,C,,,Port Johnview,Guinea-Bissau,False,F,+1-268-393-1282,,,freelancer,Regulatory affairs officer,,Tableau,10,Gallegos-Poole
Melissa Lopez,21,16-05-2024,110162,b,Yes,002,Port Williamton,Isle of Man,,F,391.862.0726,,,,Child psychotherapist,,Tableau,4,
Natalie Castillo,,,"{""monthly"": 117311}",unknown,N,002,North Joshua,Panama,False,,132-941-1502x2032,,single,employed,Web designer,Excel,Tableau,10,
Audrey Smith,,,"{""monthly"": 105039}",,,003,Andrewville,Northern Mariana Islands,True,M,(272)854-5792x0708,,,freelancer,Barrister's clerk,Excel,R,6,
Melissa Dominguez,47,"Oct 08, 2024",51832,,Yes,,Port Brianfurt,Cuba,,,(651)583-1122,,married,unemployed,"Psychotherapist, dance movement",Python,Tableau,8,
John Myers,,"Sep 15, 2024","{""monthly"": 34325}",c,Y,002,Ryanberg,Niger,True,F,825.519.2222x57699,,single,employed,Transport planner,,PowerBI,8,
Jennifer Bush,,invalid,48287,b,,,Lake Dawnshire,Jamaica,,F,+1-228-384-2135x730,,married,freelancer,Counselling psychologist,,R,7,
Shelly White,46,2023/01/06,"{""monthly"": 93627}",A,,,Mindyfurt,Kyrgyz Republic,False,,280.432.1736x60738,foxandrea@johnson.com,single,employed,Airline pilot,Excel,Tableau,1,
Chelsea Long,39,,"{""monthly"": 132248}",a,,002,East Erica,Spain,,F,101-150-9976x807,,,unemployed,Transport planner,Excel,PowerBI,10,Jones-Floyd
Thomas Jones,,invalid,"{""monthly"": 19200}",B,yes,abc,Tiffanyburgh,Antigua and Barbuda,,M,942-642-5573x004,craig05@hotmail.com,married,unemployed,Fitness centre manager,,,2,Cooper and Sons
Jennifer Barron,,invalid,"{""monthly"": 24761}",,,001,Tracyland,Nauru,True,,001-515-740-7520x066,mark75@castillo.com,single,unemployed,Call centre manager,SQL,,7,"Hernandez, Kim and Jimenez"
